TCG region,Expansion,Card number,Card number sorting order,Card name,Rarity,Card variant,Card language,Card condition,Note,Quantity
International,Obsidian Flames,117/197,117,Lycanroc,Uncommon,Normal,English,Near Mint,,1
International,Obsidian Flames,122/197,122,Glimmet,Common,Normal,English,Near Mint,,1
International,Obsidian Flames,136/197,136,Darkrai,Rare,Normal Holo,English,Near Mint,,1
International,Obsidian Flames,139/197,139,Salandit,Common,Reverse Holo,English,Near Mint,,1
International,Obsidian Flames,202/197,202,Cleffa,Illustration Rare,Normal Holo,English,Near Mint,,1
International,Obsidian Flames,211/197,211,Tyranitar ex,Ultra Rare,Normal Holo,English,Near Mint,,1
International,Paldea Evolved,088/193,88,Mismagius,Uncommon,Normal,English,Near Mint,,1
International,Paldea Evolved,172/193,172,Boss's Orders,Rare,Non-holo,English,Near Mint,,2
International,Paldea Evolved,185/193,185,Iono,Uncommon,Normal,English,Near Mint,,2
International,Paldea Evolved,188/193,188,Super Rod,Common,Normal,English,Near Mint,,1
International,Paldea Evolved,189/193,189,Superior Energy Retrieval,Uncommon,Normal,English,Near Mint,,2
International,Paldea Evolved,190/193,190,Jet Energy,Uncommon,Normal,English,Near Mint,,2
International,Paldea Evolved,192/193,192,Reversal Energy,Uncommon,Normal,English,Near Mint,,2
International,Scarlet & Violet,106/198,106,Houndstone,Rare,Normal Holo,English,Near Mint,,1
International,Scarlet & Violet,166/198,166,Arven,Uncommon,Normal,English,Near Mint,,2
International,Scarlet & Violet,170/198,170,Electric Generator,Uncommon,Normal,English,Near Mint,,2
International,Scarlet & Violet,181/198,181,Nest Ball,Uncommon,Normal,English,Near Mint,,2
International,Scarlet & Violet,189/198,189,Professor's Research,Rare,Non-holo,English,Near Mint,,1
International,Scarlet & Violet,190/198,190,Professor's Research,Rare,Non-holo,English,Near Mint,,1
International,Scarlet & Violet,191/198,191,Rare Candy,Common,Normal,English,Near Mint,,2
International,Scarlet & Violet,194/198,194,Switch,Common,Normal,English,Near Mint,,2
International,Scarlet & Violet,196/198,196,Ultra Ball,Uncommon,Normal,English,Near Mint,,2
International,Scarlet & Violet Energies,1,1,Basic Grass Energy,,Normal,English,Near Mint,,4
International,Scarlet & Violet Energies,1,1,Basic Grass Energy,,Cosmos Holo,English,Near Mint,,1
International,Scarlet & Violet Energies,2,2,Basic Fire Energy,,Normal,English,Near Mint,,5
International,Scarlet & Violet Energies,3,3,Basic Water Energy,,Normal,English,Near Mint,,6
International,Scarlet & Violet Energies,3,3,Basic Water Energy,,Cosmos Holo,English,Near Mint,,1
International,Scarlet & Violet Energies,4,4,Basic Lightning Energy,,Normal,English,Near Mint,,1
International,Scarlet & Violet Energies,4,4,Basic Lightning Energy,,Normal,English,Near Mint,,27
International,Scarlet & Violet Energies,4,4,Basic Lightning Energy,,Reverse Holo,English,Near Mint,,1
International,Scarlet & Violet Energies,4,4,Basic Lightning Energy,,Cosmos Holo,English,Near Mint,,1
International,Scarlet & Violet Energies,5,5,Basic Psychic Energy,,Normal,English,Near Mint,,1
International,Scarlet & Violet Energies,5,5,Basic Psychic Energy,,Normal,English,Near Mint,,8
International,Scarlet & Violet Energies,5,5,Basic Psychic Energy,,Cosmos Holo,English,Near Mint,,1
International,Scarlet & Violet Energies,6,6,Basic Fighting Energy,,Normal,English,Near Mint,,1
International,Scarlet & Violet Energies,6,6,Basic Fighting Energy,,Normal,English,Near Mint,,30
International,Scarlet & Violet Energies,6,6,Basic Fighting Energy,,Reverse Holo,English,Near Mint,,1
International,Scarlet & Violet Energies,6,6,Basic Fighting Energy,,Cosmos Holo,English,Near Mint,,1
International,Scarlet & Violet Energies,7,7,Basic Darkness Energy,,Normal,English,Near Mint,,33
International,Scarlet & Violet Energies,7,7,Basic Darkness Energy,,Cosmos Holo,English,Near Mint,,1
International,Scarlet & Violet Energies,8,8,Basic Metal Energy,,Normal,English,Near Mint,,8
International,Scarlet & Violet Energies,8,8,Basic Metal Energy,,Cosmos Holo,English,Near Mint,,1
International,Scarlet & Violet Energies,9,9,Basic Grass Energy,,Normal,English,Near Mint,,1
International,Scarlet & Violet Energies,9,9,Basic Grass Energy,,Normal,English,Near Mint,,1
International,Scarlet & Violet Energies,10,10,Basic Fire Energy,,Normal,English,Near Mint,,1
International,Scarlet & Violet Energies,11,11,Basic Water Energy,,Normal,English,Near Mint,,1
International,Scarlet & Violet Energies,12,12,Basic Lightning Energy,,Normal,English,Near Mint,,7
International,Scarlet & Violet Energies,12,12,Basic Lightning Energy,,Cracked Ice Holo,English,Near Mint,,1
International,Scarlet & Violet Energies,13,13,Basic Psychic Energy,,Normal,English,Near Mint,,2
International,Scarlet & Violet Energies,13,13,Basic Psychic Energy,,Normal,English,Near Mint,,2
International,Scarlet & Violet Energies,14,14,Basic Fighting Energy,,Normal,English,Near Mint,,1
International,Scarlet & Violet Energies,14,14,Basic Fighting Energy,,Normal,English,Near Mint,,8
International,Scarlet & Violet Energies,14,14,Basic Fighting Energy,,Cracked Ice Holo,English,Near Mint,,1
International,Scarlet & Violet Energies,15,15,Basic Darkness Energy,,Normal,English,Near Mint,,9
International,Scarlet & Violet Energies,15,15,Basic Darkness Energy,,Cracked Ice Holo,English,Near Mint,,1
International,Scarlet & Violet Energies,16,16,Basic Metal Energy,,Normal,English,Near Mint,,1
International,Crown Zenith,061/159,61,Girafarig,Uncommon,Normal,English,Near Mint,,1
International,SV Black Star Promos,62,62,Sinistea,Promo,Cosmos Holo,English,Near Mint,,1
International,SV Black Star Promos,94,94,Bellibolt,Promo,Cosmos Holo,English,Near Mint,,1
International,SV Black Star Promos,129,129,Pecharunt,Promo,Holo,English,Near Mint,,1
International,SV Black Star Promos,160,160,Squawkabilly ex,Promo,Promo,English,Near Mint,,2
International,SV Black Star Promos,163,163,Cinderace ex,Promo,Holo,English,Near Mint,,1
International,SV Black Star Promos,164,164,Lapras ex,Promo,Holo,English,Near Mint,,1
International,SV Black Star Promos,165,165,Terapagos ex,Promo,Holo,English,Near Mint,,1
International,SV Black Star Promos,189,189,N's Zorua,Promo,Holo,English,Near Mint,,1
International,Silver Tempest,051/195,51,Chinchou,Common,Normal,English,Near Mint,,1
International,Silver Tempest,068/195,68,Kirlia,Uncommon,Normal,English,Near Mint,,1
International,Silver Tempest,072/195,72,Meditite,Common,Normal,English,Near Mint,,1
International,Silver Tempest,078/195,78,Reuniclus,Rare Holo,Reverse Holo,English,Near Mint,,1
International,Silver Tempest,081/195,81,Espurr,Common,Normal,English,Near Mint,,2
International,Lost Origin,062/196,62,Clefairy,Common,Reverse Holo,English,Near Mint,,1
International,Lost Origin,075/196,75,Hisuian Zorua,Common,Normal,English,Near Mint,,1
International,Lost Origin,080/196,80,Mimikyu,Rare,Normal,English,Near Mint,,1
International,Lost Origin,086/196,86,Machop,Common,Normal,English,Near Mint,,1
International,Lost Origin,100/196,100,Medicham,Uncommon,Normal,English,Near Mint,,1
International,Lost Origin,104/196,104,Mienshao,Uncommon,Normal,English,Near Mint,,1
International,Lost Origin,109/196,109,Rockruff,Common,Normal,English,Near Mint,,1
International,Astral Radiance,055/189,55,Togepi,Common,Normal,English,Near Mint,,1
International,Astral Radiance,057/189,57,Togekiss,Rare Holo,Normal Holo,English,Near Mint,,1
International,Astral Radiance,060/189,60,Ralts,Common,Normal,English,Near Mint,,4
International,Astral Radiance,061/189,61,Kirlia,Uncommon,Normal,English,Near Mint,,3
International,Astral Radiance,063/189,63,Drifloon,Common,Normal,English,Near Mint,,3
International,Astral Radiance,064/189,64,Drifblim,Uncommon,Normal,English,Near Mint,,2
International,Astral Radiance,076/189,76,Cranidos,Uncommon,Normal,English,Near Mint,,1
International,Astral Radiance,088/189,88,Hisuian Qwilfish,Common,Normal,English,Near Mint,,1
International,Astral Radiance,154/189,154,Switch Cart,Uncommon,Normal,English,Near Mint,,2
International,2022 Energies,,5,Psychic Energy,,Non-holo,English,Near Mint,,18
International,2022 Energies,,6,Fighting Energy,,Non-holo,English,Near Mint,,1
International,Brilliant Stars,058/172,58,Baltoy,Common,Normal,English,Near Mint,,3
International,Brilliant Stars,059/172,59,Claydol,Uncommon,Normal,English,Near Mint,,2
International,Brilliant Stars,TG14/TG30,200,Sylveon V,Holo Rare V,Normal Holo,English,Near Mint,,1
International,Brilliant Stars,TG15/TG30,201,Sylveon VMAX,Holo Rare VMAX,Normal Holo,English,Near Mint,,1
International,Fusion Strike,226/264,226,Bug Catcher,Uncommon,Normal,English,Near Mint,,2
International,Fusion Strike,228/264,228,Cook,Uncommon,Normal,English,Near Mint,,1
International,Fusion Strike,240/264,240,Shauna,Uncommon,Normal,English,Near Mint,,2
International,Evolving Skies,150/203,150,Lucky Ice Pop,Uncommon,Normal,English,Near Mint,,1
International,Chilling Reign,050/198,50,Blitzle,Common,Reverse Holo,English,Near Mint,,1
International,Chilling Reign,059/198,59,Ralts,Common,Normal,English,Near Mint,,2
International,Chilling Reign,061/198,61,Gardevoir,Rare Holo,Non-holo,English,Near Mint,,2
International,Chilling Reign,064/198,64,Cresselia,Rare Holo,Non-holo,English,Near Mint,,1
International,Chilling Reign,071/198,71,Hatenna,Common,Normal,English,Near Mint,,1
International,Chilling Reign,094/198,94,Koffing,Common,Reverse Holo,English,Near Mint,,1
International,Chilling Reign,105/198,105,Venipede,Common,Normal,English,Near Mint,,2
International,Battle Styles,082/163,82,Sandaconda,Rare Holo,Cosmos Holo,English,Near Mint,,1
International,Shining Fates,035/072,35,Morpeko,Common,Normal,English,Near Mint,,1
International,Shining Fates,047/072,47,Nickit,Common,Normal,English,Near Mint,,2
International,Shining Fates,059/072,59,Gym Trainer,Uncommon,Normal,English,Near Mint,,2
International,Vivid Voltage,046/185,46,Electrode,Rare Holo,Normal Holo,English,Near Mint,,1
International,Vivid Voltage,054/185,54,Zebstrika,Uncommon,Reverse Holo,English,Near Mint,,1
International,Vivid Voltage,057/185,57,Tynamo,Common,Normal,English,Near Mint,,1
International,Vivid Voltage,062/185,62,Pincurchin,Uncommon,Normal,English,Near Mint,,1
International,Vivid Voltage,073/185,73,Woobat,Common,Normal,English,Near Mint,,1
International,Vivid Voltage,080/185,80,Milcery,Common,Normal,English,Near Mint,,1
International,Vivid Voltage,083/185,83,Wooper,Common,Normal,English,Near Mint,,1
International,Vivid Voltage,100/185,100,Clobbopus,Common,Normal,English,Near Mint,,1
International,Vivid Voltage,104/185,104,Mightyena,Uncommon,Normal,English,Near Mint,,1
International,Vivid Voltage,110/185,110,Trubbish,Common,Normal,English,Near Mint,,1
International,Darkness Ablaze,063/189,63,Toxtricity,Rare Holo,Normal Holo,English,Near Mint,,1
International,Rebel Clash,095/192,95,Galarian Sirfetch'd,Rare Holo,Normal Holo,English,Near Mint,,1
International,Rebel Clash,167/192,167,Sonia,Uncommon,Normal,English,Near Mint,,1
International,2020 Energies,,4,Lightning Energy,,Non-holo,English,Near Mint,,1
International,Sword & Shield,076/202,76,Boltund,Rare Holo,Cosmos Holo,English,Near Mint,,1
International,Sword & Shield,163/202,163,Evolution Incense,Uncommon,Normal,English,Near Mint,,2
International,Sword & Shield,164/202,164,Great Ball,Uncommon,Normal,English,Near Mint,,4
International,Sword & Shield,165/202,165,Hop,Uncommon,Normal,English,Near Mint,,4
International,SWSH Black Star Promos,SWSH266,266,Deoxys V,Promo,Promo,English,Near Mint,,1
International,Crimson Invasion,46/111,46,Salandit,Common,Normal,English,Near Mint,,1
